epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,23952.9,1.31585,0.97753,1.03036,0.70924,0.43585,0.49548,0.30704,1.1903,0.84447,0.97693,0.005842,0.005842,0.005842
44,24511.7,1.31375,0.97593,1.02968,0.70905,0.43773,0.49656,0.30791,1.18919,0.84295,0.97643,0.005743,0.005743,0.005743
45,25059.9,1.31293,0.97388,1.02876,0.71437,0.43651,0.49738,0.30865,1.18811,0.84149,0.97602,0.005644,0.005644,0.005644
46,25748.3,1.30815,0.9696,1.02772,0.71509,0.43691,0.4979,0.30919,1.18707,0.83994,0.97547,0.005545,0.005545,0.005545
47,26481.9,1.30628,0.96734,1.02696,0.71383,0.43702,0.49847,0.30986,1.18591,0.83862,0.97489,0.005446,0.005446,0.005446
48,27215.7,1.3034,0.96427,1.0256,0.71622,0.43685,0.49927,0.31048,1.18446,0.83732,0.97428,0.005347,0.005347,0.005347
49,27949,1.30578,0.96585,1.0264,0.7171,0.43722,0.50014,0.31107,1.18348,0.83618,0.97384,0.005248,0.005248,0.005248
50,28689.5,1.3016,0.96225,1.02514,0.72163,0.43567,0.50116,0.31183,1.18247,0.83492,0.97347,0.005149,0.005149,0.005149
51,29458,1.29991,0.95849,1.02458,0.71849,0.43916,0.50166,0.3121,1.18156,0.83353,0.97303,0.00505,0.00505,0.00505
52,30225.6,1.30147,0.96033,1.02471,0.71844,0.43892,0.50234,0.31251,1.18069,0.83234,0.97267,0.004951,0.004951,0.004951
53,30994.8,1.29561,0.95511,1.02239,0.71735,0.43963,0.50299,0.31312,1.17986,0.8311,0.97227,0.004852,0.004852,0.004852
54,31761.7,1.29394,0.95283,1.02154,0.72101,0.43895,0.50416,0.31374,1.17867,0.82973,0.97185,0.004753,0.004753,0.004753
55,32527.1,1.29579,0.95319,1.02151,0.72283,0.43891,0.50442,0.31407,1.17804,0.82889,0.97153,0.004654,0.004654,0.004654
56,33292.9,1.29247,0.94995,1.02084,0.72174,0.44001,0.5052,0.31445,1.17705,0.82783,0.97106,0.004555,0.004555,0.004555
57,33961.8,1.29101,0.94718,1.01905,0.71933,0.44324,0.50591,0.31517,1.1759,0.82683,0.97057,0.004456,0.004456,0.004456
58,34684.7,1.28897,0.94802,1.01905,0.7159,0.44531,0.50659,0.31577,1.17506,0.82569,0.97018,0.004357,0.004357,0.004357
59,35237.4,1.28675,0.94331,1.01888,0.71602,0.44574,0.5075,0.31643,1.1744,0.82484,0.96992,0.004258,0.004258,0.004258
60,35790.8,1.28461,0.94108,1.01847,0.71421,0.44768,0.5083,0.31677,1.17377,0.82379,0.96956,0.004159,0.004159,0.004159
61,36343.8,1.28487,0.94131,1.01866,0.71326,0.44883,0.50886,0.31749,1.1729,0.82304,0.96918,0.00406,0.00406,0.00406
62,36897.2,1.27866,0.93525,1.01661,0.71418,0.44921,0.50936,0.31796,1.17221,0.8224,0.96882,0.003961,0.003961,0.003961
63,37451.1,1.27943,0.93518,1.01638,0.71248,0.45064,0.51007,0.31837,1.17157,0.82187,0.96845,0.003862,0.003862,0.003862
64,38004,1.27773,0.93401,1.01627,0.71189,0.45247,0.51067,0.31887,1.17079,0.82071,0.9681,0.003763,0.003763,0.003763
65,38558.2,1.27607,0.93156,1.01496,0.71353,0.45326,0.51106,0.31926,1.17001,0.81994,0.96785,0.003664,0.003664,0.003664
66,39112.8,1.27453,0.92862,1.01411,0.71407,0.45272,0.51154,0.31983,1.16948,0.81894,0.9676,0.003565,0.003565,0.003565
67,39665.6,1.27173,0.92706,1.01371,0.7172,0.45201,0.51229,0.3205,1.16882,0.81799,0.96731,0.003466,0.003466,0.003466
68,40218.9,1.26773,0.9214,1.01148,0.72049,0.45114,0.51306,0.32102,1.16799,0.81696,0.96692,0.003367,0.003367,0.003367
69,40772.6,1.2696,0.92162,1.01111,0.72105,0.4516,0.51385,0.3215,1.16735,0.8159,0.96658,0.003268,0.003268,0.003268
70,41325.5,1.26495,0.91984,1.01025,0.724,0.4521,0.51462,0.3219,1.16643,0.81492,0.96611,0.003169,0.003169,0.003169
71,41878.9,1.26316,0.91681,1.00938,0.7222,0.45472,0.51533,0.32224,1.16588,0.81412,0.96586,0.00307,0.00307,0.00307
72,42431.7,1.26207,0.91503,1.00932,0.72409,0.45577,0.51601,0.32288,1.16516,0.81324,0.96552,0.002971,0.002971,0.002971
73,42985.7,1.26065,0.91188,1.00856,0.72643,0.45502,0.5165,0.32322,1.16448,0.81228,0.9652,0.002872,0.002872,0.002872
74,43538.7,1.25858,0.91054,1.00753,0.72624,0.45443,0.51716,0.32361,1.1637,0.81148,0.96494,0.002773,0.002773,0.002773
75,44091.6,1.25409,0.90577,1.00592,0.72628,0.45703,0.51814,0.32417,1.16294,0.81086,0.96464,0.002674,0.002674,0.002674
