epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,24411.6,1.26285,0.91199,1.01775,0.72187,0.45978,0.5224,0.32746,1.14743,0.78515,0.97099,0.005842,0.005842,0.005842
44,25150.1,1.26022,0.91102,1.01704,0.72597,0.45929,0.52327,0.32818,1.14663,0.78414,0.97068,0.005743,0.005743,0.005743
45,25868.6,1.25875,0.90952,1.01589,0.72277,0.46163,0.52366,0.32864,1.14582,0.78326,0.97029,0.005644,0.005644,0.005644
46,26605.1,1.25541,0.90457,1.01583,0.72525,0.46049,0.52437,0.32923,1.14495,0.78241,0.96993,0.005545,0.005545,0.005545
47,27218.9,1.25381,0.90574,1.01508,0.72629,0.46029,0.52533,0.32973,1.14396,0.78133,0.96955,0.005446,0.005446,0.005446
48,27770.3,1.25597,0.90497,1.01425,0.72604,0.46142,0.52588,0.33023,1.14312,0.78019,0.96912,0.005347,0.005347,0.005347
49,28321.9,1.25402,0.90191,1.01399,0.72648,0.46305,0.52665,0.33087,1.14205,0.77896,0.96863,0.005248,0.005248,0.005248
50,28873,1.24826,0.89867,1.01303,0.72844,0.46206,0.52701,0.33132,1.14109,0.77799,0.96821,0.005149,0.005149,0.005149
51,29428.7,1.24819,0.89664,1.01248,0.73185,0.46139,0.52788,0.33186,1.14032,0.77703,0.9678,0.00505,0.00505,0.00505
52,30000.1,1.24772,0.89433,1.01197,0.73477,0.46074,0.52843,0.33237,1.13944,0.77573,0.9674,0.004951,0.004951,0.004951
53,30635.2,1.2445,0.89163,1.01028,0.73495,0.46214,0.52968,0.33313,1.13861,0.77485,0.96705,0.004852,0.004852,0.004852
54,31215,1.2434,0.89193,1.01061,0.73431,0.46296,0.53024,0.3336,1.13775,0.77376,0.96671,0.004753,0.004753,0.004753
55,31817.9,1.24079,0.88882,1.0089,0.73194,0.46243,0.53095,0.33411,1.13705,0.77289,0.9663,0.004654,0.004654,0.004654
56,32406.5,1.2398,0.88658,1.00882,0.72079,0.46487,0.53173,0.3346,1.13637,0.77198,0.96607,0.004555,0.004555,0.004555
57,33167.6,1.23749,0.88382,1.00757,0.72094,0.46355,0.53214,0.33516,1.13578,0.77114,0.96571,0.004456,0.004456,0.004456
58,33726.3,1.23736,0.88503,1.00781,0.72309,0.46076,0.53317,0.33568,1.13516,0.77019,0.96544,0.004357,0.004357,0.004357
59,34285.1,1.23524,0.88129,1.00832,0.70747,0.46272,0.53395,0.33609,1.1346,0.76945,0.96515,0.004258,0.004258,0.004258
60,34844.2,1.23391,0.88011,1.00629,0.69471,0.46333,0.53491,0.33689,1.134,0.76867,0.96486,0.004159,0.004159,0.004159
61,35405.2,1.2307,0.87417,1.00396,0.68949,0.46404,0.53556,0.33741,1.13308,0.76779,0.96444,0.00406,0.00406,0.00406
62,35978.9,1.23027,0.87416,1.00488,0.68603,0.46598,0.53672,0.33824,1.13234,0.76699,0.96413,0.003961,0.003961,0.003961
63,36550.1,1.22797,0.87229,1.00335,0.68662,0.46608,0.53729,0.33863,1.1316,0.76612,0.9638,0.003862,0.003862,0.003862
64,37169.1,1.22727,0.87157,1.00266,0.68557,0.46659,0.53792,0.33924,1.13082,0.76545,0.96338,0.003763,0.003763,0.003763
65,37830.4,1.22467,0.86915,1.00169,0.68419,0.46731,0.53829,0.3396,1.13029,0.76448,0.96307,0.003664,0.003664,0.003664
66,38386.2,1.22408,0.86721,1.00169,0.68581,0.46816,0.5392,0.34007,1.12955,0.76393,0.96268,0.003565,0.003565,0.003565
